"Soldier"               "Troop"
"soldier"               "troop"
"Fighter"               "Jet"
"fighter"               "jet"
"Defense Station"       "Missile Base"
"defense station"       "missile base"
"General"               "Commander"
"general"               "commander"
"command ship"          "headquarters"
"Heavy Cruiser"         "Tank"
"heavy cruiser"         "tank"
"Cruiser"               "Tank"
"cruiser"               "tank"
"Planet"                "Region"
"planet"                "region"
"Credit"                "Coin"
"credit"                "coin"
"Psionic"               "Biological"
"psionic"               "psionic"

