"Are you sure you would like to join this game" "Are you prepared to enter the Dunes"
"LAST"                  "FINAL"
"Bank Savings="         "In Spice Silos:"
"Bank Loan="            "In Debt:"
"Tax Rate="             "Taxing at "
"you would like to pick" "that you think the Emperor will select"
"The computer picks"    "The Emperor carefully chooses"
" credits worth of ore has been mined."   " spice has been mined."
"your bank account"     "spice silo"
"Abdicate"              "Leave Dune"
"tourist attractions"   "wind traps"
"possibly due to the poor conditions in your empire." "for unknown reasons."
"was killed"            "was terminated"
"Arcadian locusts"      "Atmospheric dust storms"
"giant rats"            "sandworms"
"pumping"               "extraction"
"food supplies"         "food storage units"
"Money"                 "Spice"
"Bill Clinton"          "The Emperor"
"the bank"              "spice silos"
"Welcome to"            "Now landing at"
"Pick-5 Lottery"        "The Emperor's Lottery"
"Super Lottery"         "Harkonen Super Lotto"
"Super Daily Lottery"   "Harkonen Super Lotto"
"List of Players/Scores:" "    Dune Scoreboard    "
"grown"                 "harvested"
"Regions"               "Structures"
"Release"               "Abandon"
"releasing"             "abandoning"
"was shot"              "was destroyed"
"Failure to feed"       "Failing to provide for"
"executed"              "terminated"
"Send spy"              "Scan other facilities"
"Support dissension"    "Encourage dissension"
"Demoralize troops"     "Demoralize forces"
"Bombing operations"    "Destroy food silos"
"Spy on treaties"       "Spy on enemy alliances"
"Take hostages"         "Abduct enemy leaders"
"Bribe spy"             "Bribe enemy's agent"
"Colonize"              "Build"
"Pet:"                  "Fue:"
"Edu:"                  "Lyc:"
"Tou:"                  "Win:"
"Ore:"                  "Min:"
"Gov:"                  "Adm:"
"Urb:"                  "Bun:"
"Sup:"                  "Fac:"
"Ant:"                  "Env:"
"Ore"                   "Mines"
"Government"            "Administration"
"government"            "administration"
"Supply"                "Factory"
"supply"                "factory"
"Tourism"               "Wind trap"
"tourism"               "wind trap"
"Education"             "Lycaeum"
"education"             "lycaeum"
"Urban"                 "Bunker"
"urban"                 "bunker"
"Petroleum"             "Fuel"
"petroleum"             "fuel"
"Anti-pollution"        "Environmental"
"Anti-Pollution"        "Environmental"
"Antipollution"         "Environmental"
"anti-pollution"        "environmental"
"antipollution"         "environmental"
"Soldiers"              "Infantry"
"soldiers"              "infantry"
"Soldier"               "Infantry"
"soldier"               "infantry"
"Fighter"               "Ornithopter"
"fighter"               "ornithopter"
"Defense Station"       "Rocket Turret"
"defense station"       "rocket turret"
"General"               "Trooper"
"general"               "trooper"
"Heavy Cruiser"         "Sonic Tank"
"heavy cruiser"         "sonic tank"
"Carrier"               "Carry-all"
"carrier"               "carry-all"
"Planet"                "Structure"
"planet"                "structure"
"Do you want to continue"  "The spice must flow.  Do you want to continue"
"is actually a double-spy, spying for another empire."  "has defected and is spying for another house."
"ALERT!  Double Agents" "Attention!  Defectors found"
"double-spy"            "defector"
"double-spies"          "defectors"
"Covert:"               "Saboteurs:"
"Covert Agent"          "Saboteur"
"covert agent"          "saboteur"
"Cmd. Ship:"            "Constr.Yard:"
"Command Ship"          "Construction Yard"
"command ship"          "construction yard"
"Pirate"                "Fremen"
"pirate"                "fremen"
"Emperor"               "Ruler"
"Emperess"              "Ruler"
"Empire"                "House"
"empire"                "house"
"Megaton"               "Ton"
"megaton"               "ton"
"abdicate"              "leave"
"Galactic Coordinator"  "Emperor"
"Chemicals"             "Plague"
"chemicals"             "plague"
"Chemical"              "Plague"
"chemical"              "plague"
"Nuclear"               "Death's Hand"
"nuclear"               "Death's Hand"
"Visit Advisors"        "Seek Advice"
"Your Army needs"       "Your military needs"
"die"                   "are lost in the sands"
"immigrate to your empire" "are sworn into your House"
"emigrate from your empire" "abandon your House"
"How much will you give" "How much do you provide"
"Do you wish to do any trading" "Would you like to trade with other houses"

