"Fighter"               "Knight"
"fighter"               "knight"
"Defense Station"       "Archer"
"defense station"       "archer"
"Generals"              "Elves"
"generals"              "elves"
"General"               "Elf"
"general"               "elf"
"Heavy Cruiser"         "BattleRam"
"heavy cruiser"         "battleram"
"Cruiser"               "BattleRam"
"cruiser"               "battleram"
"Carrier"               "Horse"
"carrier"               "Horse"
"Planets"               "Territories"
"planets"               "territories"
"Planet"                "Territory"
"planet"                "territory"
"an Agent"              "a Wizard"
"an agent"              "a wizard"
"double-spy"            "corrupt wizard"
"double-spies"          "corrupt wizards"
"Covert:"               "Tower:"
"Covert Agent"          "Wizard"
"covert agent"          "wizard"
"Agent"                 "Wizard"
"agent"                 "wizard"
"Spy"                   "Wizard"
"spy"                   "wizard"
"Spies"                 "Wizards"
"spies"                 "wizards"
"Credits"               "Gold"
"credits"               "gold"
"Credit"                "Gold"
"credit"                "gold"
"Cmd. Ship"             "Castle"
"command ship"          "castle"
"Pirate"                "Bandit"
"pirate"                "bandit"
"Emperor"               "King"
"Emperess"              "Queen"
"Empire"                "Kingdom"
"empire"                "kingdom"
"Million"               "Thousand"
"million"               "thousand"
"Megaton"               "Ton"
"megaton"               "ton"
"petroleum pumping"     "wood cut from your forests"
"Petroleum"             "Forest"
"petroleum"             "forest"
"bank"                  "treasury"
"Bank"                  "Treasury"
"abdicate"              "resign"
"Galactic Coordinator"  "Emperor of the Realm"
"Chemical"              "Disease"
"chemical"              "disease"
"Nuclear"               "Explosive"
"nuclear"               "explosive"
"Psionic"               "Plague"
"psionic"               "plague"
