"Are you sure you would like to join this game" "Are you prepared to enter the Trek Realms"
"Would you like to buy a lottery ticket for" "Do you want to buy an instant ticket for"
"return"                "return"
"turn"                  "warp"
"Turn"                  "Warp"
"LAST"                  "FINAL"
"Bank Savings="         "In Credit Storage:"
"Bank Loan="            "In Debt:"
"Tax Rate="             "Taxing at "
"you would like to pick" "that you think Commander Data will select"
"The computer picks"    "Commander Data randomly chooses"
"Ore:"                  "Ore:"
"Ore"                   "Ladinum"
" ore"                  " ladinum"
"your bank account"     "credit storage"
"Abdicate"              "Resign from Starfleet"
"attractions"           "holo-suites"
"was killed"            "was disintegrated"
"Arcadian locusts"      "Atmospheric firestorms"
"giant rats"            "Vulcan seylots"
"pumping"               "mining"
"food supplies"         "food storage units"
"Money"                 "Credits"
"Bill Clinton"          "Jean-Luc Picard"
"the bank"              "credit storage"
"Welcome to"            "Now docking at"
"Pick-5 Lottery"        "           * * * * * *  Data's Instant Win Select-5 * * * * * *           "
"Super Lottery"         "Ferengi Super Lotto"
"Super Daily Lottery"   "Ferengi Super Lotto"
"List of Players/Scores:" "    Trek Realms Scoreboard    "
"grown"                 "cultivated and replicated"
"Regions"               "Colonies"
"Release"               "Abandon"
"releasing"             "abandoning"
"was shot"              "was beamed into oblivion"
"Failure to feed"       "Failing to provide for"
"executed"              "disrupted"
"Send spy"              "Scan other federations"
"Set up"                "Simulate battles"
"to set up"             "to simulate a battle between"
"Support dissension"    "Encourage dissension"
"Demoralize troops"     "Demoralize forces"
"Bombing operations"    "Destroy food storage units"
"Spy on treaties"       "Spy on enemy alliances"
"Take hostages"         "Abduct enemy leaders"
"Bribe spy"             "Bribe enemy's agent"
"Colonize"              "Establish"
"Government"            "Administration"
"government"            "administration"
"Tourism"               "Recreation"
"tourism"               "recreation"
"Education"             "Academy"
"education"             "academy"
"Urban"                 "Metropolitan"
"urban"                 "metropolitan"
"Petroleum"             "Dilithium"
"petroleum"             "dilithium"
"Anti-pollution"        "Environmental"
"Anti-Pollution"        "Environmental"
"Antipollution"         "Environmental"
"anti-pollution"        "environmental"
"antipollution"         "environmental"
"Soldier"               "Terran"
"soldier"               "Terran"
"Fighter"               "Klingon"
"fighter"               "Klingon"
"Defense Stations"      "Defense Outposts"
"defense stations"      "defense outposts"
"Defense Station"       "Defense Outpost"
"defense station"       "defense outpost"
"General"               "Officer"
"general"               "officer"
"Heavy Cruisers"        "Klingon Battle Cruisers"
"heavy cruisers"        "Klingon battle cruisers"
"Heavy Cruiser"         "Klingon Battle Cruiser"
"heavy cruiser"         "Klingon battle cruiser"
"Carrier"               "Starship"
"carrier"               "starship"
"Planets"               "Colonies"
"planets"               "colonies"
"Planet"                "Colony"
"planet"                "colony"
"double-spy"            "corrupt agent"
"double-spies"          "corrupt agents"
"Covert:"               "Secret:"
"Covert Agent"          "Secret Agent"
"covert agent"          "secret agent"
"Cmd. Ship:"            "Flagship:"
"Command Ship"          "U.F.P. Flagship"
"command ship"          "U.F.P. Flagship"
"Pirate"                "Raider"
"pirate"                "raider"
"Emperor"               "Admiral"
"Emperess"              "Commander"
"Empires"               "Federations"
"empires"               "federations"
"Empire"                "Federation"
"empire"                "federation"
"Megaton"               "Kiloton"
"megaton"               "kiloton"
"abdicate"              "resign"
"Galactic Coordinator"  "Great Bird of the Galaxy"
"Chemical"              "Neutron"
"chemical"              "neutron"
"Nuclear"               "Plasma Photon"
"nuclear"               "plasma photon"
"Visit Advisors"        "Seek Vulcan Advice"
"Your advisors inform you" "The Vulcans tell you"
"Your Army needs"       "Your military needs"
"people"                "lifeforms"
"citizens"              "beings"
"die"                   "cease to function and perish"
"immigrate to"          "teleport to your worlds to live in"
"emigrate from"         "teleport out of"
"How much will you give" "How much do you provide"
"Do you wish to do any trading" "Would you like to trade with other federations"
