"Year"                  "day"
"year"                  "day"
"Solar Master"          "Top Rancher"
"Ore"                   "Silver Mine"
" ore"                  " silver"
"Education"             "School"
"education"             "school"
"Urban"                 "Town"
"urban"                 "town"
"Petroleum"             "Oil"
"petroleum"             "oil"
"Soldier"               "Cow"
"soldier"               "cow"
"Fighter"               "Cowboy"
"fighter"               "cowboy"
"Defense Stations"      "Deputies"
"defense stations"      "deputies"
"Defense Station"       "Deputy"
"defense station"       "deputy"
"General"               "Ranchhand"
"general"               "ranchhand"
"Heavy Cruisers"        "Steer"
"heavy cruisers"        "steer"
"Cruisers"              "Steer"
"cruisers"              "steer"
"Heavy Cruiser"         "Steer"
"heavy cruiser"         "steer"
"Cruiser"               "Steer"
"cruiser"               "steer"
"Carrier"               "Horse"
"carrier"               "horse"
"Planets"               "Land"
"planets"               "land"
"Planet"                "Land"
"planet"                "land"
"an Agent"              "a Blacksmith"
"an agent"              "a blacksmith"
"double-spy"            "corrupt blacksmith"
"double-spies"          "corrupt blacksmiths"
"Covert:"               "Shop:"
"Covert Agent"          "Blacksmith"
"covert agent"          "blacksmith"
"Agent"                 "Blacksmith"
"agent"                 "blacksmith"
"Spy"                   "Blacksmith"
"spy"                   "blacksmith"
"Spies"                 "Blacksmiths"
"spies"                 "blacksmiths"
"Credit"                "Dollar"
"credit"                "dollar"
"Cmd. Ship:"            "Station:"
"command ship"          "train station"
"Pirate"                "Bandit"
"pirate"                "bandit"
"Emperor"               "Dude"
"Emperess"              "Dudette"
"Empires"               "Ranches"
"empires"               "ranches"
"Empire"                "Ranch"
"empire"                "ranch"
" Million"              ""
" million"              ""
"Megaton"               "Pound"
"megaton"               "pound"
"abdicate"              "run out of town"
"Galactic Coordinator"  "Sheriff"
"Chemical"              "Disease"
"chemical"              "disease"
"Nuclear"               "Explosive"
"nuclear"               "explosive"
"A Psionic"             "An Ugly"
"a psionic"             "an ugly"
"Psionic"               "Ugly"
"psionic"               "ugly"
"galactic atmosphere"   "ranch lands"
"Your advisors inform you that your food planets do not produce" "Your ranchhands tell you that your food land isn't"
"Your Army needs"       "Your animals need"
"people/army"           "people or animals"
"citizens"              "townspeople"
"food land produce "    "food land produces "
"this day"              "today"
"supply land produce "  "supply lands produce "

