 Length  Method   Size  Ratio   Date    Time    CRC-32  Attr  Name
 ------  ------   ----- -----   ----    ----   -------- ----  ----
  22981  DeflatX   5316  77%  05-12-95  09:59  10375e32 --w-  BATCH.C
  22915  DeflatX   5368  77%  07-15-95  10:02  f70dd930 --w-  BBS.C
  28873  DeflatX   7423  75%  04-25-95  19:34  998e8786 --w-  BBSOVL1.C
  28583  DeflatX   6198  79%  04-25-95  19:34  49f92909 --w-  BBSOVL2.C
  49801  DeflatX   8960  83%  05-28-95  06:08  c56cfa43 --w-  BBSOVL3.C
  21356  DeflatX   5696  74%  06-25-95  08:08  5aec1cb4 --w-  BBSUTL.C
  20101  DeflatX   5598  73%  08-12-95  20:10  a8616f69 --w-  BBSUTL1.C
   4648  DeflatX   1634  65%  04-25-95  19:34  f523c7e2 --w-  BBSUTL2.C
  10393  DeflatX   2449  77%  04-25-95  19:34  f8a98e28 --w-  CHNEDIT.C
  42118  DeflatX  10239  76%  05-30-95  18:57  490bd0fc --w-  COM.C
  36887  DeflatX   7745  80%  05-12-95  16:14  ece4f852 --w-  CONF.C
  24021  DeflatX   6557  73%  06-25-95  07:46  d1662f85 --w-  CONIO.C
   7840  DeflatX   1838  77%  04-25-95  19:34  343597e6 --w-  CONNECT1.C
  10761  DeflatX   3156  71%  04-25-95  19:34  2ce119cb --w-  CONVERT.C
  19178  DeflatX   4134  79%  08-12-95  18:31  ebb1c8be --w-  DEFAULTS.C
  12012  DeflatX   2967  76%  04-25-95  19:34  bc605a8c --w-  DIREDIT.C
 164203  DeflatX  18695  89%  09-07-95  07:51  2eff2e67 --w-  ENGLISH.STR
   9037  DeflatX   2262  75%  04-25-95  19:34  39dcfdae --w-  EXTRN.C
  25675  DeflatX   7143  73%  08-11-95  06:00  53862045 --w-  EXTRN1.C
  33086  DeflatX   8157  76%  04-22-95  07:35  64a0a5d5 --w-  FCNS.H
    602  DeflatX    342  44%  12-03-94  16:01  669a5749 --w-  FEDIT.RIP
    444  DeflatX    296  34%  05-13-95  12:19  0f748180 --w-  FILE_ID.DIZ
  34148  DeflatX   8177  77%  04-27-95  18:56  7ae836c0 --w-  FIX.C
    773  DeflatX    417  47%  12-03-94  16:01  05a1e0fb --w-  FSED.RIP
  12910  DeflatX   3215  76%  05-12-95  10:22  bc126931 --w-  GFILES.C
   8756  DeflatX   2566  71%  04-25-95  19:34  3dd00ddd --w-  GFLEDIT.C
    274  DeflatX    159  42%  09-14-94  17:09  e2020d86 --w-  GOODBYE.RIP
    276  DeflatX    161  42%  08-17-94  10:50  6a6b943a --w-  HELLO.RIP
  37279  DeflatX  11627  69%  01-23-94  08:05  322fd4c2 --w-  HELP.MSG
   9584  DeflatX   2899  70%  04-29-95  11:05  7e6d0aa1 --w-  INI.C
    525  DeflatX    216  59%  04-17-94  14:26  9bb6fcc0 --w-  INI.H
   5763  DeflatX    566  91%  06-25-95  07:49  d9a05555 --w-  INI.STR
 132832  DeflatX  68076  49%  07-14-95  08:40  a8eb2945 --w-  INIT.EXE
  13281  DeflatX   3342  75%  05-12-95  16:15  2012dde7 --w-  INSTMSG.C
   1707  DeflatX    658  62%  04-25-95  19:34  d0dc3770 --w-  INSTMSG.H
   1134  DeflatX    600  48%  11-22-93  19:20  e37a104b --w-  LICENSE.TXT
  24845  DeflatX   6933  73%  08-21-95  17:26  38b5b9cd --w-  LILO.C
  13810  DeflatX   4036  71%  03-29-95  06:34  4cb06918 --w-  MENUS.MSG
  15817  DeflatX   4110  75%  03-04-95  06:58  ee6ab6f9 --w-  MENUSANS.MSG
   3010  DeflatX    896  71%  05-20-95  14:25  9e979e30 --w-  MENUSLCL.MSG
  23161  DeflatX   5376  77%  05-20-95  14:32  151a6009 --w-  MENUSSOF.MSG
   7076  DeflatX   1852  74%  08-06-95  15:41  7b561121 --w-  MINIESM.C
